0	0	0	Male infant circumcision is tantamount to child abuse	Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child 	Male infant circumcision is not tantamount to child abuse	Parents don't have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child
0	0	0	Male infant circumcision is tantamount to child abuse	Parents have the right to make the decisions for their child	Male infant circumcision is not tantamount to child abuse	Parents don't have the right to make the decisions for their child
1	0	0	punishment should fit the criminal	It will cause less re-offenders.	punishment should not fit the criminal	It will not cause less re-offenders.
1	0	0	punishment should fit the criminal	Adequate punishment reduces future offenses.	punishment should not fit the criminal	Adequate punishment increase future offenses.
1	0	0	punishment should fit the criminal	Just punishment will lead to less criminals re-offending. 	punishment should not fit the criminal	Just punishment will not lead to less criminals re-offending.
0	0	0	punishment should fit the criminal	The onus should not be on punishing the criminal.	punishment should not fit the criminal	The onus should be on punishing the criminal.
0	0	0	punishment should fit the criminal	Punishment should not be the primary focus.	punishment should not fit the criminal	Punishment should be the primary focus.
0	0	0	punishment should fit the criminal	Our  main goal should not be punishing the criminal. 	punishment should not fit the criminal	Our  main goal should be punishing the criminal.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom cannot exist without economic security and independence	A government doesn't have the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom can exist without economic security and independence
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does not allow for equality between the rich and the poor and so it should be reduced.	A government doesn't have the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does allow for equality between the rich and the poor and so it should be reduced.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.	A government doesn't have the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage not to certain groups of people and reducing the wealth gap will help achieve more equality.
1	0	0	We Should Question Authorities	Why is the authority figure there?	We should not Question Authorities	Why is not the authority figure there?
1	0	0	China should be allowed more control over its own seas	China should have freedom of the seas.	China should not be allowed more control over its own seas	China should not have freedom of the seas.
1	0	0	Islamic State/Daesh is the most significant threat to the west	Daesh and the Syrian civil war is nurture terrorism for export 	Islamic State/Daesh is not the most significant threat to the west	Daesh and the Syrian civil war is not nurture terrorism for export
0	0	0	Islamic State/Daesh is the most significant threat to the west	There are other larger threats.	Islamic State/Daesh is not the most significant threat to the west	There are not other larger threats.
0	0	0	Islamic State/Daesh is the most significant threat to the west	More significant threats than the Islamic State exist for the west.	Islamic State/Daesh is not the most significant threat to the west	Less significant threats than the Islamic State exist for the west.
0	0	0	Islamic State/Daesh is the most significant threat to the west	The Islamic State is not the biggest concern for the western world.	Islamic State/Daesh is not the most significant threat to the west	The Islamic State is the biggest concern for the western world.
0	0	0	Islamic State/Daesh is the most significant threat to the west	There are more important threats to focus on	Islamic State/Daesh is not the most significant threat to the west	There are not more important threats to focus on
0	0	0	Islamic State/Daesh is the most significant threat to the west	The west is insulated by distance from Daesh	Islamic State/Daesh is not the most significant threat to the west	The west is not insulated by distance from Daesh
1	0	0	All countries should have the right to pursue a nuclear defence	Small countries would be able to pursue their independence without having to rely on larger countries.	All countries should not have the right to pursue a nuclear defence	Small countries would not be able to pursue their independence without having to rely on larger countries.
