[2.3657428755541332e-05, 0.999976396560669]	1	1
[0.9999966621398926, 3.364235908520641e-06]	0	0
[0.00026614803937263787, 0.9997338652610779]	1	1
[0.9477970004081726, 0.052202969789505005]	0	1
[0.0007365302299149334, 0.9992634654045105]	1	1
[2.2012691260897554e-05, 0.9999779462814331]	1	1
[1.7895754353958182e-05, 0.9999821186065674]	1	1
[1.2498237992986105e-05, 0.9999874830245972]	1	1
[1.7895754353958182e-05, 0.9999821186065674]	1	1
[2.0815597963519394e-05, 0.9999791383743286]	1	1
[1.422876630385872e-05, 0.9999858140945435]	1	1
[1.6645213690935634e-05, 0.9999833106994629]	1	1
[1.4117756109044421e-05, 0.999985933303833]	1	1
[0.9999990463256836, 9.797222446650267e-07]	0	0
[1.0, 2.263614540254366e-08]	0	0
[0.9999997615814209, 2.390124791418202e-07]	0	0
[0.9999998807907104, 7.374902821766227e-08]	0	0
[1.0, 2.3329004505967532e-08]	0	0
[0.9999996423721313, 3.6653622714766243e-07]	0	0
[0.9999990463256836, 9.454877840653353e-07]	0	0
[0.9999927282333374, 7.28629629520583e-06]	0	0
[3.4312604839215055e-05, 0.9999656677246094]	1	1
[1.6451120245619677e-05, 0.999983549118042]	1	1
[1.981030436581932e-05, 0.9999802112579346]	1	1
[4.0556114981882274e-05, 0.9999594688415527]	1	1
[1.897915171866771e-05, 0.9999810457229614]	1	1
[5.234563286649063e-05, 0.9999476671218872]	1	1
[5.824886466143653e-05, 0.9999417066574097]	1	1
[3.4845787013182417e-05, 0.9999651908874512]	1	1
[6.087675137678161e-05, 0.9999390840530396]	1	1
[3.62816899723839e-05, 0.9999637603759766]	1	1
[1.0, 2.0128089417426054e-08]	0	0
[1.0, 3.905159573491801e-08]	0	0
[1.0, 5.6774347001464776e-08]	0	0
[0.9999986886978149, 1.3032156402914552e-06]	0	0
[0.9999932050704956, 6.767333161405986e-06]	0	0
[0.9999996423721313, 3.5554720057007216e-07]	0	0
[0.9999998807907104, 1.6778214728674357e-07]	0	0
[0.999988317489624, 1.1683594493661076e-05]	0	0
[0.9999978542327881, 2.1445187030622037e-06]	0	0
[0.9999973773956299, 2.618722419356345e-06]	0	0
[0.9999995231628418, 4.811016083294817e-07]	0	0
[0.9999815225601196, 1.8482118321117014e-05]	0	0
[6.693031900795177e-05, 0.999933123588562]	1	1
[1.685848292254377e-05, 0.9999831914901733]	1	1
[1.465154764446197e-05, 0.9999853372573853]	1	1
[0.9999970197677612, 3.0099104151304346e-06]	0	1
[1.5890031136223115e-05, 0.9999841451644897]	1	1
[0.9999901056289673, 9.924572623276617e-06]	0	0
[0.9999725818634033, 2.746262907749042e-05]	0	0
[1.549960688862484e-05, 0.9999845027923584]	1	0
[7.238254329422489e-05, 0.9999276399612427]	1	1
[1.83068223122973e-05, 0.9999816417694092]	1	1
[1.4349446246342268e-05, 0.9999856948852539]	1	1
[2.85456953861285e-05, 0.9999715089797974]	1	1
[0.9999986886978149, 1.3050874940745416e-06]	0	0
[0.0010781963355839252, 0.9989218711853027]	1	1
[2.4246906832559034e-05, 0.9999758005142212]	1	1
[0.00143802585080266, 0.9985620379447937]	1	1
[0.5297538042068481, 0.47024619579315186]	0	1
[0.7696154117584229, 0.23038457334041595]	0	1
[0.06711878627538681, 0.932881236076355]	1	0
[0.9783366918563843, 0.021663319319486618]	0	1
[0.9959008097648621, 0.004099183715879917]	0	1
[0.6634459495544434, 0.33655408024787903]	0	0
[0.9959704875946045, 0.004029527772217989]	0	1
[0.9999485015869141, 5.150578363100067e-05]	0	1
[0.999910831451416, 8.920137770473957e-05]	0	1
[0.9999252557754517, 7.470532727893442e-05]	0	1
[0.999518632888794, 0.00048134400276467204]	0	1
[0.037747763097286224, 0.9622522592544556]	1	1
[0.9987521171569824, 0.0012479181168600917]	0	1
[0.999863862991333, 0.00013608537847176194]	0	1
[0.9998418092727661, 0.0001581975375302136]	0	1
[0.9992081522941589, 0.0007918853661976755]	0	0
[0.9998055100440979, 0.00019448407692834735]	0	0
[0.9973592162132263, 0.0026407078839838505]	0	0
[0.9999582767486572, 4.1707004129420966e-05]	0	0
[0.0018588346429169178, 0.9981411695480347]	1	1
[0.0023155296221375465, 0.9976844787597656]	1	1
[0.0016933485167101026, 0.9983066320419312]	1	1
[0.014303497038781643, 0.9856964349746704]	1	1
[0.0020355794113129377, 0.9979643821716309]	1	1
[0.0021472794469445944, 0.9978528022766113]	1	1
[0.005165182054042816, 0.9948347806930542]	1	1
[0.0036419911775738, 0.9963579773902893]	1	1
[0.0020900587551295757, 0.9979099631309509]	1	1
[0.9980304837226868, 0.0019695230294018984]	0	0
[0.9994602799415588, 0.0005397323984652758]	0	0
[0.9993869066238403, 0.0006130550755187869]	0	1
[0.018589071929454803, 0.9814109206199646]	1	1
[0.0015889571513980627, 0.9984110593795776]	1	1
[1.99782462004805e-05, 0.9999799728393555]	1	1
[7.068685590638779e-06, 0.9999929666519165]	1	1
[0.9999998807907104, 1.784053580422551e-07]	0	0
[0.9999998807907104, 1.1348875972316819e-07]	0	0
[0.9999551773071289, 4.4782296754419804e-05]	0	0
[0.05241396650671959, 0.9475860595703125]	1	0
[0.9999953508377075, 4.651489234674955e-06]	0	0
[0.9999947547912598, 5.244401108939201e-06]	0	0
[1.940590846061241e-05, 0.9999805688858032]	1	1
[0.00022392711252905428, 0.9997760653495789]	1	1
[3.696900239447132e-05, 0.9999630451202393]	1	1
[9.599177246855106e-06, 0.9999903440475464]	1	1
[1.065093692886876e-05, 0.99998939037323]	1	1
[4.640792030841112e-05, 0.9999536275863647]	1	1
[0.9999991655349731, 8.34065531307715e-07]	0	0
[0.9999994039535522, 5.90560773616744e-07]	0	0
[0.9976285099983215, 0.0023715044371783733]	0	0
[0.0009695084881968796, 0.9990304708480835]	1	1
[2.503207724657841e-05, 0.9999749660491943]	1	1
[0.42971035838127136, 0.5702896118164062]	1	1
[0.999977707862854, 2.2327585611492395e-05]	0	1
[2.0143941583228298e-05, 0.9999798536300659]	1	1
[0.9980717301368713, 0.0019282923312857747]	0	1
[0.9999997615814209, 1.902775181861216e-07]	0	0
[0.5483448505401611, 0.45165514945983887]	0	0
[5.5884825087559875e-06, 0.9999943971633911]	1	0
[5.7211047533201054e-05, 0.9999427795410156]	1	1
[7.872532478359062e-06, 0.9999921321868896]	1	1
[1.4541729797201697e-05, 0.9999854564666748]	1	1
[6.021831268299138e-06, 0.9999939203262329]	1	1
[7.559947334812023e-06, 0.9999924898147583]	1	1
[5.336201866157353e-05, 0.9999465942382812]	1	1
[1.5159724171098787e-05, 0.999984860420227]	1	1
[0.002323515247553587, 0.9976765513420105]	1	1
[3.456176636973396e-05, 0.9999654293060303]	1	1
[3.2773983548395336e-05, 0.9999672174453735]	1	1
[1.3575197954196483e-05, 0.9999864101409912]	1	1
[0.00011426721175666898, 0.9998856782913208]	1	1
[6.758993549738079e-06, 0.9999932050704956]	1	1
[0.00010585044219624251, 0.9998941421508789]	1	1
[6.987679171288619e-06, 0.9999929666519165]	1	1
[1.1020830243069213e-05, 0.9999890327453613]	1	1
[4.1723942558746785e-06, 0.9999958276748657]	1	1
[1.384446022711927e-05, 0.9999861717224121]	1	1
[0.9975952506065369, 0.0024046951439231634]	0	0
[0.9999979734420776, 2.0526626940409187e-06]	0	0
[0.999962568283081, 3.742877743206918e-05]	0	0
[5.148707259650109e-06, 0.9999948740005493]	1	1
[8.589389835833572e-06, 0.9999914169311523]	1	1
[0.9999983310699463, 1.6160752238647547e-06]	0	0
[0.9999998807907104, 1.1783791364905483e-07]	0	0
[0.9990336894989014, 0.0009663182427175343]	0	0
[0.0016580690862610936, 0.9983419179916382]	1	0
[0.00031150045106187463, 0.9996885061264038]	1	0
[2.3244088879437186e-05, 0.9999767541885376]	1	1
[1.055527991411509e-05, 0.99998939037323]	1	1
[1.6113175661303103e-05, 0.9999839067459106]	1	1
[1.6411337128374726e-05, 0.999983549118042]	1	1
[1.0479133379703853e-05, 0.9999895095825195]	1	1
[0.00635000504553318, 0.9936500191688538]	1	1
[1.1986693607468624e-05, 0.9999879598617554]	1	1
[7.9410356192966e-06, 0.9999920129776001]	1	1
[0.9999994039535522, 5.974441137368558e-07]	0	0
[0.9999997615814209, 2.6866308644457604e-07]	0	0
[0.9999995231628418, 4.303934417748678e-07]	0	0
[0.9999997615814209, 1.9068278334088973e-07]	0	0
[1.6558451534365304e-05, 0.9999834299087524]	1	1
[1.040546158037614e-05, 0.9999896287918091]	1	1
[0.9999994039535522, 6.340421805361984e-07]	0	0
