undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold
4.980137,-5.9183707,1.923178,0.0013394952,0,0,0
5.4605837,-5.4834228,1.9466546,0.05151522,0,0,0
5.225395,-5.1481996,1.8771652,0.0075677037,0,0,0
5.359714,-5.54203,1.9536625,0.0037171245,0,0,0
6.069273,-2.9931407,1.9325211,1.8426658,0,0,0
5.2731133,-5.4412336,1.952739,0.008910954,0,0,0
5.2999954,-5.552086,1.9636159,0.013648212,0,0,0
5.0644045,-5.2286277,1.9309528,0.0033984184,0,0,0
6.975863,-2.372392,1.920776,1.9287682,0,1,1
5.6102014,-5.8097143,1.9724977,0.0009843111,0,0,0
-3.1033785,2.9316323,0.20381069,1.638864,1,1,1
-1.9632632,1.9251649,0.1831519,0.1965965,1,1,1
-0.14259715,0.31811538,0.31345898,0.12050313,1,0,1
5.18934,-5.870834,1.7080708,1.7808545,0,1,1
5.0539265,-5.1800575,1.9181068,0.00083625317,0,0,0
4.9766994,-0.7667258,1.3191316,1.7891183,0,1,0
4.0988584,-4.2530093,1.1927695,0.016577005,0,0,0
3.9051123,-4.219962,1.6007465,0.06419629,0,0,0
3.4377103,-1.7020649,1.0917684,1.1698959,0,1,0
-2.28303,2.3072689,0.42603797,0.20001078,1,0,0
6.4144254,-1.9900081,1.9098941,1.8997113,0,0,0
4.9950852,-4.4318624,1.8869786,0.16674703,0,0,0
5.2460747,-5.493441,1.9688919,0.0010259748,0,0,0
4.887659,-5.5831037,1.9640374,0.021506846,0,0,0
2.5856388,0.0032938984,0.59319067,1.1707501,0,1,1
4.8458443,-5.638386,1.7949092,0.06454456,0,0,1
3.5901327,-0.24992037,1.4169164,1.2004136,0,0,0
-6.865955,6.5163236,0.020884812,1.77138,1,1,1
-6.7014136,6.2087255,0.032435834,1.7988756,1,1,1
-6.932624,6.413558,0.022729993,1.8091674,1,1,1
-5.494283,5.349086,0.07912016,1.5908666,1,1,1
-4.8321524,5.6003165,0.065134525,1.1656126,1,1,1
-6.1178966,5.820756,0.05650854,1.6858479,1,1,1
-5.554035,5.4305596,0.05190295,1.6173706,1,1,1
-6.579031,6.1514406,0.03187424,1.759923,1,1,1
-7.3593144,7.2485785,0.006319821,1.7124354,1,1,1
-2.990275,6.2472744,0.015120149,1.8182065,1,1,1
6.1095185,-6.591278,1.9343562,0.00051140785,0,0,0
4.13557,-4.717447,1.1047676,0.0089674,0,0,0
5.981347,-6.354521,1.9660255,0.0012425184,0,0,0
4.0859923,-4.4972534,1.8985281,0.074575245,0,0,0
4.64633,-1.6552471,1.6643462,0.593856,0,0,0
5.31118,-5.2030406,1.8146147,0.007891834,0,0,0
-6.615327,6.107059,0.01390934,1.8412108,1,1,0
-2.5863214,2.2010865,0.21427578,1.7105238,1,1,0
7.1052337,-4.3399944,1.7252104,0.935189,0,0,1
-5.8353515,5.157641,0.058300138,1.8187107,1,1,1
-2.8052251,1.9929734,0.22317666,1.8331301,1,1,1
6.2157264,-4.2299237,1.5328015,0.010647297,0,0,1
